ds,yhat1,trend,season_yearly,season_daily,datestamp,date,time,hour
2021-06-01 1:00:00,0.5581405163,0.4742190242,0.06152004004,0.02240147442,2021-06-01 01:00:00,2021-06-01,1:00:00,1
2021-06-01 2:00:00,0.5633305907,0.4742156267,0.06153469905,0.02758025378,2021-06-01 02:00:00,2021-06-01,2:00:00,2
2021-06-01 3:00:00,0.5621913671,0.4742121994,0.06154927239,0.02642987482,2021-06-01 03:00:00,2021-06-01,3:00:00,3
2021-06-01 4:00:00,0.5605080128,0.474208802,0.06156375259,0.02473545261,2021-06-01 04:00:00,2021-06-01,4:00:00,4
2021-06-01 5:00:00,0.5604953766,0.4742053747,0.06157816201,0.02471180819,2021-06-01 05:00:00,2021-06-01,5:00:00,5
2021-06-01 6:00:00,0.5514383316,0.4742019475,0.06159247458,0.01564388908,2021-06-01 06:00:00,2021-06-01,6:00:00,6
2021-06-01 7:00:00,0.5294232368,0.4741985798,0.06160672009,-0.006382059772,2021-06-01 07:00:00,2021-06-01,7:00:00,7
2021-06-01 8:00:00,0.5092683434,0.4741951525,0.06162085757,-0.02654768713,2021-06-01 08:00:00,2021-06-01,8:00:00,8
2021-06-01 9:00:00,0.5037885904,0.4741917253,0.06163492426,-0.03203804791,2021-06-01 09:00:00,2021-06-01,9:00:00,9
2021-06-01 10:00:00,0.5063849688,0.4741883278,0.06164890528,-0.02945226617,2021-06-01 10:00:00,2021-06-01,10:00:00,10
2021-06-01 11:00:00,0.5058925152,0.4741849005,0.06166279688,-0.02995518968,2021-06-01 11:00:00,2021-06-01,11:00:00,11
2021-06-01 12:00:00,0.5035873652,0.4741815031,0.06167659536,-0.03227072582,2021-06-01 12:00:00,2021-06-01,12:00:00,12
2021-06-01 13:00:00,0.5042877197,0.4741781056,0.06169031933,-0.0315807201,2021-06-01 13:00:00,2021-06-01,13:00:00,13
2021-06-01 14:00:00,0.505623877,0.4741746783,0.06170395017,-0.03025477566,2021-06-01 14:00:00,2021-06-01,14:00:00,14
2021-06-01 15:00:00,0.5071083903,0.4741712511,0.0617174916,-0.02878037468,2021-06-01 15:00:00,2021-06-01,15:00:00,15
2021-06-01 16:00:00,0.5154365897,0.4741678238,0.06173095852,-0.02046219073,2021-06-01 16:00:00,2021-06-01,16:00:00,16
2021-06-01 17:00:00,0.5308607817,0.4741644561,0.06174432486,-0.005047977436,2021-06-01 17:00:00,2021-06-01,17:00:00,17
2021-06-01 18:00:00,0.5426977277,0.4741610289,0.06175759807,0.006779094227,2021-06-01 18:00:00,2021-06-01,18:00:00,18
2021-06-01 19:00:00,0.5468655229,0.4741576016,0.06177079678,0.01093710307,2021-06-01 19:00:00,2021-06-01,19:00:00,19
2021-06-01 20:00:00,0.5523003936,0.4741542041,0.06178390235,0.01636229642,2021-06-01 20:00:00,2021-06-01,20:00:00,20
2021-06-01 21:00:00,0.5621005297,0.4741507769,0.06179691479,0.02615284733,2021-06-01 21:00:00,2021-06-01,21:00:00,21
2021-06-01 22:00:00,0.5657604337,0.4741473794,0.06180983409,0.02980320714,2021-06-01 22:00:00,2021-06-01,22:00:00,22
2021-06-01 23:00:00,0.5591179132,0.4741439819,0.06182267144,0.02315126732,2021-06-01 23:00:00,2021-06-01,23:00:00,23
2021-06-02 0:00:00,0.5540593863,0.4741405547,0.06183541939,0.01808344573,2021-06-02 00:00:00,2021-06-02,0:00:00,0
2021-06-02 1:00:00,0.5583866835,0.4741371274,0.0618480891,0.02240147442,2021-06-02 01:00:00,2021-06-02,1:00:00,1
2021-06-02 2:00:00,0.5635746121,0.4741337299,0.06186063588,0.02758025378,2021-06-02 02:00:00,2021-06-02,2:00:00,2
