ds,yhat1,trend,season_yearly,season_daily,datestamp,date,time,hour
2021-06-01 1:00:00,102062.4297,101859.3516,178.8826752,24.18972397,2021-06-01 01:00:00,1:00:00,1:00:00,1
2021-06-01 2:00:00,102034.0469,101859.3594,178.8040009,-4.119428158,2021-06-01 02:00:00,2:00:00,2:00:00,2
2021-06-01 3:00:00,102010.4375,101859.375,178.7262573,-27.65828896,2021-06-01 03:00:00,3:00:00,3:00:00,3
2021-06-01 4:00:00,101990.0313,101859.3828,178.6493988,-47.99959564,2021-06-01 04:00:00,4:00:00,4:00:00,4
2021-06-01 5:00:00,101973.6094,101859.3906,178.5735626,-64.35687256,2021-06-01 05:00:00,5:00:00,5:00:00,5
2021-06-01 6:00:00,101967.6484,101859.3984,178.4985962,-70.25382996,2021-06-01 06:00:00,6:00:00,6:00:00,6
2021-06-01 7:00:00,101976.3594,101859.4063,178.4245605,-61.47474289,2021-06-01 07:00:00,7:00:00,7:00:00,7
2021-06-01 8:00:00,101998.0547,101859.4219,178.3514862,-39.71743393,2021-06-01 08:00:00,8:00:00,8:00:00,8
2021-06-01 9:00:00,102028.1797,101859.4297,178.2792816,-9.524833679,2021-06-01 09:00:00,9:00:00,9:00:00,9
2021-06-01 10:00:00,102059.3438,101859.4375,178.2080383,21.69491959,2021-06-01 10:00:00,10:00:00,10:00:00,10
2021-06-01 11:00:00,102081.0703,101859.4453,178.1377563,43.48799896,2021-06-01 11:00:00,11:00:00,11:00:00,11
2021-06-01 12:00:00,102087.1875,101859.4531,178.0683289,49.66055679,2021-06-01 12:00:00,12:00:00,12:00:00,12
2021-06-01 13:00:00,102080.7969,101859.4688,177.9998322,43.33543015,2021-06-01 13:00:00,13:00:00,13:00:00,13
2021-06-01 14:00:00,102066.7656,101859.4766,177.9322968,29.36046219,2021-06-01 14:00:00,14:00:00,14:00:00,14
2021-06-01 15:00:00,102044.9141,101859.4844,177.8656464,7.567274094,2021-06-01 15:00:00,15:00:00,15:00:00,15
2021-06-01 16:00:00,102018.2266,101859.4922,177.7999268,-19.06777,2021-06-01 16:00:00,16:00:00,16:00:00,16
2021-06-01 17:00:00,102000.25,101859.5,177.7351227,-36.98910904,2021-06-01 17:00:00,17:00:00,17:00:00,17
2021-06-01 18:00:00,102003.3359,101859.5078,177.6712189,-33.84543991,2021-06-01 18:00:00,18:00:00,18:00:00,18
2021-06-01 19:00:00,102023.8203,101859.5234,177.6082001,-13.31196308,2021-06-01 19:00:00,19:00:00,19:00:00,19
2021-06-01 20:00:00,102048.5469,101859.5313,177.5461426,11.4701004,2021-06-01 20:00:00,20:00:00,20:00:00,20
2021-06-01 21:00:00,102070.8984,101859.5391,177.4849854,33.87110519,2021-06-01 21:00:00,21:00:00,21:00:00,21
2021-06-01 22:00:00,102089.6094,101859.5469,177.4247131,52.63400269,2021-06-01 22:00:00,22:00:00,22:00:00,22
2021-06-01 23:00:00,102097.7891,101859.5547,177.3653412,60.86427307,2021-06-01 23:00:00,23:00:00,23:00:00,23
2021-06-02 0:00:00,102087.0547,101859.5703,177.3069,50.18345642,2021-06-02 00:00:00,0:00:00,0:00:00,0
2021-06-02 1:00:00,102061.0156,101859.5781,177.2493439,24.18972397,2021-06-02 01:00:00,1:00:00,1:00:00,1
2021-06-02 2:00:00,102032.6563,101859.5859,177.1927032,-4.119428158,2021-06-02 02:00:00,2:00:00,2:00:00,2
2021-06-02 3:00:00,102009.0703,101859.5938,177.1369476,-27.65828896,2021-06-02 03:00:00,3:00:00,3:00:00,3
2021-06-02 4:00:00,101988.6875,101859.6016,177.0820923,-47.99959564,2021-06-02 04:00:00,4:00:00,4:00:00,4
2021-06-02 5:00:00,101972.2813,101859.6094,177.0281372,-64.35687256,2021-06-02 05:00:00,5:00:00,5:00:00,5
2021-06-02 6:00:00,101966.3438,101859.625,176.9750977,-70.25382996,2021-06-02 06:00:00,6:00:00,6:00:00,6
2021-06-02 7:00:00,101975.0781,101859.6328,176.9229126,-61.47474289,2021-06-02 07:00:00,7:00:00,7:00:00,7
