ds,yhat1,trend,season_yearly,season_daily,datestamp,date,time,hour
2021-06-01 1:00:00,14.94371986,16.26592064,-3.625831604,2.303630114,2021-06-01 01:00:00,2021-06-01,1:00:00,1
2021-06-01 2:00:00,15.54835224,16.26597404,-3.631032944,2.913410425,2021-06-01 02:00:00,2021-06-01,2:00:00,2
2021-06-01 3:00:00,16.27819633,16.26602745,-3.636238575,3.648408651,2021-06-01 03:00:00,2021-06-01,3:00:00,3
2021-06-01 4:00:00,16.49713898,16.26608086,-3.64144516,3.872505188,2021-06-01 04:00:00,2021-06-01,4:00:00,4
2021-06-01 5:00:00,16.29365921,16.26613426,-3.646655083,3.674180508,2021-06-01 05:00:00,2021-06-01,5:00:00,5
2021-06-01 6:00:00,15.86315155,16.26618767,-3.651867151,3.248832464,2021-06-01 06:00:00,2021-06-01,6:00:00,6
2021-06-01 7:00:00,15.04154015,16.26623917,-3.657081604,2.432381868,2021-06-01 07:00:00,2021-06-01,7:00:00,7
2021-06-01 8:00:00,14.68154716,16.26629448,-3.662298679,2.077550888,2021-06-01 08:00:00,2021-06-01,8:00:00,8
2021-06-01 9:00:00,14.07556915,16.26634789,-3.667519093,1.476741672,2021-06-01 09:00:00,2021-06-01,9:00:00,9
2021-06-01 10:00:00,12.59484768,16.26639938,-3.672739506,0.001186954905,2021-06-01 10:00:00,2021-06-01,10:00:00,10
2021-06-01 11:00:00,11.77853489,16.2664547,-3.677963734,-0.8099556565,2021-06-01 11:00:00,2021-06-01,11:00:00,11
2021-06-01 12:00:00,11.29621601,16.2665081,-3.683188915,-1.287101626,2021-06-01 12:00:00,2021-06-01,12:00:00,12
2021-06-01 13:00:00,10.79248333,16.2665596,-3.688415527,-1.785660982,2021-06-01 13:00:00,2021-06-01,13:00:00,13
2021-06-01 14:00:00,10.70622349,16.26661491,-3.693644762,-1.866745591,2021-06-01 14:00:00,2021-06-01,14:00:00,14
2021-06-01 15:00:00,10.14155483,16.26666832,-3.698875666,-2.426236868,2021-06-01 15:00:00,2021-06-01,15:00:00,15
2021-06-01 16:00:00,9.975378036,16.26671982,-3.704108238,-2.587233543,2021-06-01 16:00:00,2021-06-01,16:00:00,16
2021-06-01 17:00:00,9.934055328,16.26677322,-3.709341288,-2.623375416,2021-06-01 17:00:00,2021-06-01,17:00:00,17
2021-06-01 18:00:00,9.43400383,16.26682663,-3.714576483,-3.118245363,2021-06-01 18:00:00,2021-06-01,18:00:00,18
2021-06-01 19:00:00,9.599646568,16.26688004,-3.71981287,-2.94742012,2021-06-01 19:00:00,2021-06-01,19:00:00,19
