ds,yhat1,trend,season_yearly,season_daily,datestamp,date,time,hour
2021-06-01 1:00:00,3.883008242,3.745617151,-0.1950784177,0.3324694037,2021-06-01 01:00:00,2021-06-01,1:00:00,1
2021-06-01 2:00:00,4.032847881,3.745607853,-0.1960008293,0.4832406938,2021-06-01 02:00:00,2021-06-01,2:00:00,2
2021-06-01 3:00:00,4.099380016,3.745598555,-0.1969210804,0.5507024527,2021-06-01 03:00:00,2021-06-01,3:00:00,3
2021-06-01 4:00:00,4.09445858,3.745589018,-0.1978391856,0.5467085242,2021-06-01 04:00:00,2021-06-01,4:00:00,4
2021-06-01 5:00:00,4.095048428,3.745579481,-0.1987551302,0.5482234955,2021-06-01 05:00:00,2021-06-01,5:00:00,5
2021-06-01 6:00:00,4.06106472,3.745569944,-0.1996688545,0.5151632428,2021-06-01 06:00:00,2021-06-01,6:00:00,6
2021-06-01 7:00:00,3.902356625,3.745560646,-0.2005803734,0.3573762178,2021-06-01 07:00:00,2021-06-01,7:00:00,7
2021-06-01 8:00:00,3.80989027,3.745551348,-0.2014896572,0.2658287585,2021-06-01 08:00:00,2021-06-01,8:00:00,8
2021-06-01 9:00:00,3.714558601,3.745541811,-0.2023967355,0.1714134067,2021-06-01 09:00:00,2021-06-01,9:00:00,9
2021-06-01 10:00:00,3.525760651,3.745532274,-0.2033014894,-0.01647011936,2021-06-01 10:00:00,2021-06-01,10:00:00,10
2021-06-01 11:00:00,3.401896238,3.745522738,-0.2042039931,-0.1394225955,2021-06-01 11:00:00,2021-06-01,11:00:00,11
2021-06-01 12:00:00,3.266794443,3.745513439,-0.2051041871,-0.2736148238,2021-06-01 12:00:00,2021-06-01,12:00:00,12
2021-06-01 13:00:00,3.164706469,3.745504141,-0.2060020715,-0.3747955263,2021-06-01 13:00:00,2021-06-01,13:00:00,13
2021-06-01 14:00:00,3.119479656,3.745494604,-0.2068976462,-0.4191174209,2021-06-01 14:00:00,2021-06-01,14:00:00,14
2021-06-01 15:00:00,3.102224588,3.745485067,-0.2077908665,-0.4354697466,2021-06-01 15:00:00,2021-06-01,15:00:00,15
2021-06-01 16:00:00,3.088474512,3.745475769,-0.2086816728,-0.4483196139,2021-06-01 16:00:00,2021-06-01,16:00:00,16
2021-06-01 17:00:00,3.083028316,3.745466471,-0.2095701247,-0.4528680444,2021-06-01 17:00:00,2021-06-01,17:00:00,17
2021-06-01 18:00:00,3.154475451,3.745456934,-0.2104561776,-0.3805253804,2021-06-01 18:00:00,2021-06-01,18:00:00,18
2021-06-01 19:00:00,3.164653778,3.745447397,-0.2113398165,-0.3694540262,2021-06-01 19:00:00,2021-06-01,19:00:00,19
2021-06-01 20:00:00,3.220667362,3.74543786,-0.2122209817,-0.3125494719,2021-06-01 20:00:00,2021-06-01,20:00:00,20
2021-06-01 21:00:00,3.320912361,3.745428562,-0.2130997032,-0.2114166766,2021-06-01 21:00:00,2021-06-01,21:00:00,21
